statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
Complete Games,Jordan Lyles,Kansas City Royals,3.0,Top 25,2023,American League,Pitching Statistics,2,42,2,0
ERA,Gerrit Cole,New York Yankees,2.63,Top 25,2023,American League,Pitching Statistics,4,34,2,0
Games,Matt Brash,Seattle Mariners,78.0,Top 25,2023,American League,Pitching Statistics,5,66,2,0
Saves,Emmanuel Clase,Cleveland Guardians,44.0,Top 25,2023,American League,Pitching Statistics,11,25,2,0
Shutouts,Gerrit Cole,New York Yankees,2.0,Top 25,2023,American League,Pitching Statistics,12,34,2,0
Strikeouts,Kevin Gausman,Toronto Blue Jays,237.0,Top 25,2023,American League,Pitching Statistics,15,54,2,0
Winning Percentage,Gerrit Cole,New York Yankees,0.789,Top 25,2023,American League,Pitching Statistics,18,34,2,0
Wins,Chris Bassitt,Toronto Blue Jays,16.0,Top 25,2023,American League,Pitching Statistics,19,13,2,0
Complete Games,Kevin Gausman,Toronto,2.0,Top 25,2024,American League,Pitching Statistics,2,53,3,0
ERA,Tarik Skubal,Detroit,2.39,Top 25,2024,American League,Pitching Statistics,4,84,3,0
Games,T.J. McFarland,Oakland,79.0,Top 25,2024,American League,Pitching Statistics,5,83,3,0
Saves,Emmanuel Clase,Cleveland,47.0,Top 25,2024,American League,Pitching Statistics,11,24,3,0
Shutouts,Ronel Blanco,Houston,1.0,Top 25,2024,American League,Pitching Statistics,12,75,3,0
Strikeouts,Tarik Skubal,Detroit,228.0,Top 25,2024,American League,Pitching Statistics,15,84,3,0
Winning Percentage,Tarik Skubal,Detroit,0.818,Top 25,2024,American League,Pitching Statistics,18,84,3,0
Wins,Tarik Skubal,Detroit,18.0,Top 25,2024,American League,Pitching Statistics,19,84,3,0
Complete Games,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,2,85,4,0
ERA,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,4,85,4,0
Games,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,5,85,4,0
Saves,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,11,85,4,0
Shutouts,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,12,85,4,0
Strikeouts,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,15,85,4,0
Winning Percentage,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,18,85,4,0
Wins,To Be Determined,--,,Top 25,2025,American League,Pitching Statistics,19,85,4,0
Complete Games,German Marquez,Colorado Rockies,3.0,Top 25,2021,National League,Pitching Statistics,2,33,0,1
